Datetime,Ticker,High,Low,Source
2026-06-02 13:30,MSFT,444.56,441.4,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-02 14:30,MSFT,442.82,440.43,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-02 15:30,MSFT,442.12,440.71,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-03 9:30,MSFT,440.4,430.56,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-03 10:30,MSFT,431.5,425.86,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-03 11:30,MSFT,427.78,425.14,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-03 12:30,MSFT,425.83,424.26,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-03 13:30,MSFT,428.27,425.05,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-03 14:30,MSFT,428.94,427.4,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-03 15:30,MSFT,428.72,426.3,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-04 9:30,MSFT,436.1,428.72,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-04 10:30,MSFT,431.53,429,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-04 11:30,MSFT,430.79,427.75,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-04 12:30,MSFT,428.91,426.42,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-04 13:30,MSFT,428.47,426.7,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-04 14:30,MSFT,429,426.98,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-04 15:30,MSFT,428.44,427,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-05 9:30,MSFT,429.41,421.7,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-05 10:30,MSFT,423.14,420.73,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-05 11:30,MSFT,422.36,418.9,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-05 12:30,MSFT,420.75,418.59,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-05 13:30,MSFT,421.5,417.81,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-05 14:30,MSFT,418.34,414.4,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-05 15:30,MSFT,417.49,416.05,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-08 9:30,MSFT,417.16,411.29,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-08 10:30,MSFT,413.6,411.35,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-08 11:30,MSFT,411.59,409.82,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-08 12:30,MSFT,410.77,408.57,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-08 13:30,MSFT,412.75,409.59,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-08 14:30,MSFT,413,411.63,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
